system:index,date,latitude,longitude,ndmi,.geo
20250104T055231_20250104T055231_T42RYP,2025-01-04,25.980104975139426,72.05731970851573,-0.10785947763917172,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250104T055231_20250104T055231_T42RZP,2025-01-04,25.980104975139426,72.05731970851573,-0.10729475595466997,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250104T055231_20250104T055231_T43RBJ,2025-01-04,25.980104975139426,72.05731970851573,-0.10730052543231519,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250109T055129_20250109T060025_T42RYP,2025-01-09,25.980104975139426,72.05731970851573,-0.08133489741802866,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250109T055129_20250109T060025_T42RZP,2025-01-09,25.980104975139426,72.05731970851573,-0.08037112820588792,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250109T055129_20250109T060025_T43RBJ,2025-01-09,25.980104975139426,72.05731970851573,-0.08036549599732891,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250114T055211_20250114T055205_T42RYP,2025-01-14,25.980104975139426,72.05731970851573,-0.09227026069478918,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250114T055211_20250114T055205_T42RZP,2025-01-14,25.980104975139426,72.05731970851573,-0.09381158006770142,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250114T055211_20250114T055205_T43RBJ,2025-01-14,25.980104975139426,72.05731970851573,-0.09364983368274238,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250119T055049_20250119T055355_T42RYP,2025-01-19,25.980104975139426,72.05731970851573,-0.11065061901880834,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250119T055049_20250119T055355_T42RZP,2025-01-19,25.980104975139426,72.05731970851573,-0.1162875681942475,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250119T055049_20250119T055355_T43RBJ,2025-01-19,25.980104975139426,72.05731970851573,-0.11618070985244508,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250124T055201_20250124T055156_T42RYP,2025-01-24,25.980104975139426,72.05731970851573,-0.10619711277011842,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250124T055201_20250124T055156_T42RZP,2025-01-24,25.980104975139426,72.05731970851573,-0.10540538980361393,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250124T055201_20250124T055156_T43RBJ,2025-01-24,25.980104975139426,72.05731970851573,-0.10537886990911458,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250129T055009_20250129T055918_T42RYP,2025-01-29,25.980104975139426,72.05731970851573,-0.10426494085520424,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250129T055009_20250129T055918_T42RZP,2025-01-29,25.980104975139426,72.05731970851573,-0.10335087210693429,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250129T055009_20250129T055918_T43RBJ,2025-01-29,25.980104975139426,72.05731970851573,-0.10340341967753494,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250203T055101_20250203T055104_T42RYP,2025-02-03,25.980104975139426,72.05731970851573,-0.12720093729521026,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250203T055101_20250203T055104_T42RZP,2025-02-03,25.980104975139426,72.05731970851573,-0.1274895873912695,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250203T055101_20250203T055104_T43RBJ,2025-02-03,25.980104975139426,72.05731970851573,-0.1276255088116234,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250213T055001_20250213T060152_T42RYP,2025-02-13,25.980104975139426,72.05731970851573,-0.12202802505278033,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250213T055001_20250213T060152_T42RZP,2025-02-13,25.980104975139426,72.05731970851573,-0.12255285860528699,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250213T055001_20250213T060152_T43RBJ,2025-02-13,25.980104975139426,72.05731970851573,-0.12274409632938157,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250218T054819_20250218T055515_T42RYP,2025-02-18,25.980104975139426,72.05731970851573,-0.10471048108889441,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250218T054819_20250218T055515_T42RZP,2025-02-18,25.980104975139426,72.05731970851573,-0.10547350058900093,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250218T054819_20250218T055515_T43RBJ,2025-02-18,25.980104975139426,72.05731970851573,-0.10534145674356409,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250223T054851_20250223T060124_T42RYP,2025-02-23,25.980104975139426,72.05731970851573,-0.12104782030677219,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250223T054851_20250223T060124_T42RZP,2025-02-23,25.980104975139426,72.05731970851573,-0.12078663619220288,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250223T054851_20250223T060124_T43RBJ,2025-02-23,25.980104975139426,72.05731970851573,-0.12083283084609332,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250305T054741_20250305T055749_T42RYP,2025-03-05,25.980104975139426,72.05731970851573,-0.09866559844497501,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250305T054741_20250305T055749_T42RZP,2025-03-05,25.980104975139426,72.05731970851573,-0.09828813909489122,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250305T054741_20250305T055749_T43RBJ,2025-03-05,25.980104975139426,72.05731970851573,-0.09822678227465989,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250320T054639_20250320T060101_T42RYP,2025-03-20,25.980104975139426,72.05731970851573,-0.12489840228294866,"{""type"":""MultiPoint"",""coordinates"":[]}"
