system:index,date,latitude,longitude,modis_fire,.geo
2025_02_22,2025-02-22,25.980104975139426,72.05731970851573,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_02_23,2025-02-23,25.980104975139426,72.05731970851573,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_02_24,2025-02-24,25.980104975139426,72.05731970851573,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_02_25,2025-02-25,25.980104975139426,72.05731970851573,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_02_26,2025-02-26,25.980104975139426,72.05731970851573,5.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_02_27,2025-02-27,25.980104975139426,72.05731970851573,5.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_02_28,2025-02-28,25.980104975139426,72.05731970851573,5.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_03_01,2025-03-01,25.980104975139426,72.05731970851573,5.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_03_02,2025-03-02,25.980104975139426,72.05731970851573,5.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_03_03,2025-03-03,25.980104975139426,72.05731970851573,5.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_03_04,2025-03-04,25.980104975139426,72.05731970851573,5.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_03_05,2025-03-05,25.980104975139426,72.05731970851573,5.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_03_06,2025-03-06,25.980104975139426,72.05731970851573,5.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_03_07,2025-03-07,25.980104975139426,72.05731970851573,5.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_03_08,2025-03-08,25.980104975139426,72.05731970851573,5.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_03_09,2025-03-09,25.980104975139426,72.05731970851573,5.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_03_10,2025-03-10,25.980104975139426,72.05731970851573,5.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_03_11,2025-03-11,25.980104975139426,72.05731970851573,5.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_03_12,2025-03-12,25.980104975139426,72.05731970851573,5.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_03_13,2025-03-13,25.980104975139426,72.05731970851573,5.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_03_14,2025-03-14,25.980104975139426,72.05731970851573,5.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_03_15,2025-03-15,25.980104975139426,72.05731970851573,5.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_03_16,2025-03-16,25.980104975139426,72.05731970851573,5.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_03_17,2025-03-17,25.980104975139426,72.05731970851573,5.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_03_18,2025-03-18,25.980104975139426,72.05731970851573,5.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_03_19,2025-03-19,25.980104975139426,72.05731970851573,5.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_03_20,2025-03-20,25.980104975139426,72.05731970851573,5.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_03_21,2025-03-21,25.980104975139426,72.05731970851573,5.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_03_22,2025-03-22,25.980104975139426,72.05731970851573,5.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_03_23,2025-03-23,25.980104975139426,72.05731970851573,5.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_03_24,2025-03-24,25.980104975139426,72.05731970851573,5.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_03_25,2025-03-25,25.980104975139426,72.05731970851573,5.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_03_26,2025-03-26,25.980104975139426,72.05731970851573,5.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_03_27,2025-03-27,25.980104975139426,72.05731970851573,5.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_03_28,2025-03-28,25.980104975139426,72.05731970851573,5.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_03_29,2025-03-29,25.980104975139426,72.05731970851573,5.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_03_30,2025-03-30,25.980104975139426,72.05731970851573,5.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_03_31,2025-03-31,25.980104975139426,72.05731970851573,5.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
